Ticker,Name,1D (%),1M (%),6M (%),YTD (%),1Y (%)
ADV,Advantage Solutions Inc.  - Class A Common Stock,4,22,86,107,32
ADVB,Advanced Biomed Inc. - Common Stock,-4,-25,-53,-35,-84
ADXN,Addex Therapeutics Ltd - American Depositary Shares,-2,4,-6,-16,-19
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,0,0,0,0,0
AEBI,Aebi Schmidt Holding AG - Common Stock,2,7,2,-4,9
AEC,Anfield Energy Inc. - Common Shares,0,-19,-32,-26,-27
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,-23,196,-90,-86,-89
AEI,Alset Inc. - Common Stock,1,6,-35,-54,97
AEIS,"Advanced Energy Industries, Inc. - Common Stock",0,-16,58,46,177
AEMD,"Aethlon Medical, Inc. - Common Stock",5,1,-46,-22,-93
AENT,Alliance Entertainment Holding Corporation - common stock,3,-18,-11,-23,135
AEP,"American Electric Power Company, Inc. - Common Stock",2,-2,9,15,32
AEVA,"Aeva Technologies, Inc. - Common Stock",18,57,139,99,57
AEYE,"AudioEye, Inc. - Common Stock",0,0,-38,-27,-43
AFBI,"Affinity Bancshares, Inc. - Common Stock",0,0,17,9,26
AFCG,Advanced Flower Capital Inc. - Common Stock,4,21,35,29,-21
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",-1,-11,297,-47,259
AFYA,Afya Limited - Class A Common Shares,-1,1,-1,-2,-20
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,-4,24,44,38,-75
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,-2,4,175,65,185
AGEN,Agenus Inc. - Common Stock,-2,-24,-28,-4,-12
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",-2,15,6,4,-7
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,5,2,-22,-22,-22
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,1,28,-62,-44,-69
AGNC,AGNC Investment Corp. - Common Stock,0,-7,6,-2,31
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",0,0,5,3,7
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,0,0,6,3,10
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",0,0,7,4,11
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",0,1,6,4,10
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",0,1,5,4,10
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",0,0,5,2,6
AGNT,"eXp World Holdings, Inc. - Common Stock",1,-22,-56,-44,-34
AGYS,"Agilysys, Inc. - Common Stock",0,21,-34,-31,-24
AHCO,AdaptHealth Corp.  - Common Stock,-1,-20,6,8,12
AHG,Akso Health Group - American Depositary Shares,1,-34,2,-4,-20
AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,2,10,-82,-78,-75
AIAI,AIAI Holdings Corporation - Class A common stock,8,4,4,4,4
AIDX,"20/20 Biolabs, Inc. - Common Stock",-19,-36,-96,-96,-96
AIFC,AI Financial Corporation - Common Stock,1,5,-50,-26,-90
AIFF,"Firefly Neuroscience, Inc.  - Common Stock",2,-17,9,97,-47
AIHS,Senmiao Technology Limited - Common Stock,-1,-8,5,8,-87
AIIO,Robo.ai Inc. - Class B Ordinary Shares,-20,302,-81,-58,-94
AIMD,"Ainos, Inc. - Common Stock",-3,-17,-18,-13,-50
AIOS,AIOS Tech Inc. - Class A Common Shares,-10,94,-78,-20,-83
AIOT,"PowerFleet, Inc. - Common Stock",4,7,-24,-35,-30
AIP,"Arteris, Inc.  - Common Stock",1,36,170,133,377
AISP,"Airship AI Holdings, Inc - Class A Common Stock",9,8,-17,-18,-51
AIXC,"AIxCrypto Holdings, Inc. - Common Stock",-7,-16,-51,-46,-65
AIXI,XIAO-I Corporation - American Depositary Shares,4,2162,2175,3498,377
AKAM,"Akamai Technologies, Inc. - Common Stock",1,53,67,73,89
AKAN,Akanda Corp. - Common Shares,16,124,24,144,-68
AKBA,"Akebia Therapeutics, Inc. - Common Stock",0,-28,-36,-34,-65
AKTS,"Aktis Oncology, Inc. - Common stock",6,1,-9,-9,-9
AKTX,Akari Therapeutics Plc - American Depositary Shares,255,226,3,57,-64
ALAB,"Astera Labs, Inc. - Common Stock",3,56,108,71,215
ALBT,Avalon GloboCare Corp. - Common Stock,13,-6,-71,-69,-90
ALCO,"Alico, Inc. - Common Stock",1,-1,31,13,30
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,0,0,2,1,2
ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",-3,-2,-70,-67,-30
ALEC,"Alector, Inc. - Common Stock",0,-6,73,44,75
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,0,1,3,2,4
ALGM,"Allegro MicroSystems, Inc. - Common Stock",3,6,85,71,76
ALGN,"Align Technology, Inc. - Common Stock",0,-11,14,5,-8
ALGS,"Aligos Therapeutics, Inc. - Common stock",1,-10,-39,-37,3
ALGT,Allegiant Travel Company - Common Stock,-1,1,17,-9,44
ALHC,"Alignment Healthcare, Inc. - Common Stock",0,-22,-7,-19,11
ALIS,Calisa Acquisition Corp - Ordinary shares,0,0,1,1,1
ALKS,Alkermes plc - Ordinary Shares,0,9,30,30,23
ALKT,"Alkami Technology, Inc. - Common Stock",0,6,-22,-26,-43
ALLO,"Allogene Therapeutics, Inc. - Common Stock",2,-11,48,48,85
ALLT,Allot Ltd. - Ordinary Shares,4,3,-22,-20,-6
ALM,Almonty Industries Inc. - Common Shares,-1,-13,212,112,346
ALMS,Alumis Inc. - Common Stock,-1,-11,202,146,395
ALNT,Allient Inc. - Common Stock,1,-15,23,14,105
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",-1,-4,-31,-26,3
ALOT,"AstroNova, Inc. - Common Stock",0,2,77,60,58
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Class A Ordinary Shares",0,0,1,1,1
ALOY,REalloys Inc. - Common Stock,1,10,50,1,143
ALP,Alpha Compute Corp  - Common Stock,-5,60,-87,-52,-95
ALPS,ALPS Group Inc - Ordinary Share,-4,-27,-48,-26,-74
