Ticker,Name,1D (%),1M (%),6M (%),YTD (%),1Y (%)
BLDP,"Ballard Power Systems, Inc. - Common Shares",2,70,107,107,304
BLFS,"BioLife Solutions, Inc. - Common Stock",-3,12,-9,0,8
BLIN,"Bridgeline Digital, Inc. - Common Stock",2,-4,0,12,-38
BLIV,BeLive Holdings - ordinary shares,-2,0,-31,-26,-50
BLKB,"Blackbaud, Inc. - Common Stock",0,-20,-46,-50,-52
BLLN,"BillionToOne, Inc. - Class A common stock",0,5,-28,-4,-21
BLMN,"Bloomin' Brands, Inc. - Common Stock",1,29,23,23,1
BLNE,"Beeline Holdings, Inc. - Common Stock",-4,-37,-32,-36,20
BLNK,Blink Charging Co. - Common Stock,-1,6,-37,11,9
BLTE,"Belite Bio, Inc - American Depositary Shares",-5,-16,1,-14,123
BLZE,"Backblaze, Inc. - Common Stock",4,83,68,62,29
BMBL,Bumble Inc. - common stock,2,-27,-10,-14,-48
BMEA,"Biomea Fusion, Inc. - Common Stock",4,-18,41,6,0
BMGL,Basel Medical Group Ltd - ordinary shares,-3,-2,-48,5,-45
BMHL,Bluemount Holdings Limited - Class B Ordinary Shares,0,23,32,25,9
BMM,Blue Moon Metals Inc. - Common Shares,8,-11,58,58,58
BNAI,Brand Engagement Network Inc. - Common Stock,-4,-35,374,391,640
BNBX,BNB Plus Corp. - Common Stock,0,-28,-84,-74,-95
BNC,CEA Industries Inc. - Common Stock,0,-15,-51,-59,-69
BNGO,"Bionano Genomics, Inc. - Common Stock",1,1,-26,-22,-67
BNKK,"Bonk, Inc. - Common Stock",-6,-34,-68,-36,-86
BNTC,Benitec Biopharma Inc. - Common Stock,-1,-11,-14,-11,-22
BNTX,BioNTech SE - American Depositary Shares,1,-10,-5,-5,-7
BNZI,"Banzai International, Inc. - Class A Common Stock",-1,-58,-86,-86,-98
BODI,"The Beachbody Company, Inc. - Class A Common Stock",-2,-30,13,13,205
BOF,BranchOut Food Inc. - Common Stock,-2,-17,17,-2,77
BOKF,BOK Financial Corporation - Common Stock,1,-1,21,11,41
BOLD,"Boundless Bio, Inc. - Common Stock",-1,-2,30,18,11
BOLT,"Bolt Biotherapeutics, Inc. - Common Stock",8,0,-1,-15,-23
BON,Bon Natural Life Limited - Class A Ordinary Shares,-1,-1,-30,-26,-28
BOOM,DMC Global Inc. - Common Stock,1,7,19,1,2
BOSC,B.O.S. Better Online Solutions - Ordinary Shares,1,-6,4,-4,15
BOT,"RoboStrategy, Inc. - Common Stock",-22,-37,-37,-37,-37
BOTJ,"Bank of the James Financial Group, Inc. - Common Stock",0,-2,32,24,63
BOXL,Boxlight Corporation - Class A Common Stock,4,-23,-83,-53,-92
BPAC,Blueport Acquisition Ltd - Class A Ordinary Shares,0,0,2,2,2
BPOP,"Popular, Inc. - Common Stock",1,0,35,20,48
BPOPM,"Popular, Inc. - Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities",0,0,2,1,6
BPYPM,"Brookfield Property Partners L.P. - 6.25% Class A Cumulative Redeemable Preferred Units, Series 1",0,3,17,12,25
BPYPN,"Brookfield Property Partners L.P. - 5.750% Class A Cumulative Redeemable Perpetual Preferred Units, Series 3",0,0,8,5,17
BPYPO,"Brookfield Property Partners L.P. - 6.375% Class A Cumulative Redeemable Perpetual Preferred Units, Series 2",1,0,11,7,15
BPYPP,Brookfield Property Partners L.P. - 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,1,-1,12,9,19
BSAA,BEST SPAC I Acquisition Corp. - Class A Ordinary Shares,1,19,20,20,22
BSBK,Bogota Financial Corp. - Common Stock,-1,-1,-1,-3,18
BSET,"Bassett Furniture Industries, Incorporated - Common Stock",0,0,-1,-9,-3
BSVN,Bank7 Corp. - Common stock,1,0,8,7,18
BSY,"Bentley Systems, Incorporated - Class B Common Stock",-1,1,-19,-13,-31
BTAI,"BioXcel Therapeutics, Inc. - Common Stock",-1,4,-42,-34,-19
BTBD,"BT Brands, Inc. - Common Stock",1,-34,-21,-19,-9
BTBT,"Bit Digital, Inc. - Ordinary Share",3,28,-13,-2,-23
BTCS,BTCS Inc. - Common Stock,-4,-14,-48,-43,-50
BTCT,BTC Digital Ltd. - Ordinary Shares,-1,-11,-37,-33,-71
BTM,Bitcoin Depot Inc. - Class A Common Stock,-15,-93,-95,-95,-98
BTMD,Biote Corp. - Class A common stock,-4,-12,-21,-19,-51
BTOC,Armlogi Holding Corp. - common stock,0,9,-42,-42,-76
BTOG,Bit Origin Limited - Class A Ordinary Shares,-3,-14,-89,-85,-83
BTQ,BTQ Technologies Corp. - Common Stock,12,28,-44,-27,-28
BTSG,"BrightSpring Health Services, Inc. - Common Stock",1,20,66,52,150
BTTC,Black Titan Corp - Ordinary Shares,-1,-16,-63,-40,-95
BVC,BitVentures Limited - Ordinary Share,-3,-6,674,636,973
BVFL,"BV Financial, Inc. - Common Stock",1,0,9,9,29
BVS,Bioventus Inc. - Class A Common Stock,-2,-7,25,29,42
BYAH,"Park Ha Biological Technology Co., Ltd. - Class A Ordinary Shares",-4,-2,-91,-87,-100
BYFC,Broadway Financial Corporation - Class A Common Stock,0,23,61,27,57
BYND,"Beyond Meat, Inc. - Common stock",-3,-16,-11,-13,-76
BYSI,"BeyondSpring, Inc. - Ordinary Shares",9,1,-16,-2,-11
BZ,KANZHUN LIMITED - American Depository Shares,0,1,-35,-34,-21
BZAI,"Blaize Holdings, Inc. - Common Stock",-3,-32,-37,-29,-28
BZFD,"BuzzFeed, Inc. - Class A Common Stock",19,176,137,117,-14
CAAS,"China Automotive Systems, Inc. - Ordinary Share",-4,2,14,7,12
CABA,"Cabaletta Bio, Inc. - Common Stock",-1,25,59,65,110
CAC,Camden National Corporation - Common Stock,0,-2,25,17,27
CACC,Credit Acceptance Corporation - Common Stock,-1,6,24,20,10
CADL,"Candel Therapeutics, Inc. - Common Stock",1,27,76,47,43
CAI,"Caris Life Sciences, Inc. - Common Stock",-2,-22,-38,-42,-44
CAKE,The Cheesecake Factory Incorporated - Common Stock,1,-2,37,17,13
CALC,"CalciMedica, Inc. - Common Stock",0,7,-85,-91,-64
CALM,"Cal-Maine Foods, Inc. - Common Stock",0,-1,-8,-1,-15
CAMP,CAMP4 Therapeutics Corporation - Common Stock,3,2,35,-25,127
CAMT,Camtek Ltd. - Ordinary Shares,4,-12,65,45,154
CAN,Canaan Inc. - American Depositary Shares,0,-17,-57,-46,-40
CAPN,Cayson Acquisition Corp - Ordinary Shares,0,-1,2,1,5
CAPS,Capstone Holding Corp. - Common Stock,12,-14,-54,-48,-81
CAQ,Cambridge Acquisition Corp. - Class A Ordinary Shares,0,0,-1,-1,-1
CASH,"Pathward Financial, Inc. - Common Stock",0,-6,19,15,6
CASS,"Cass Information Systems, Inc - Common Stock",-2,-4,12,13,8
CAST,"FreeCast, Inc. - Class A common stock",-20,-65,-89,-89,-89
CASY,"Caseys General Stores, Inc. - Common Stock",0,3,53,49,85
CATY,Cathay General Bancorp - Common Stock,0,3,22,19,34
CBAT,"CBAK Energy Technology, Inc. - Common Stock",1,-9,-17,-13,-14
CBC,"Central Bancompany, Inc. - Class A Common Stock",0,8,18,20,22
CBFV,"CB Financial Services, Inc. - Common Stock",0,-3,3,1,24
CBIO,"Crescent Biopharma, Inc. - Common Stock",3,-18,48,87,-10
CBK,"Commercial Bancgroup, Inc. - Common Stock",-1,-1,18,19,20
CBLL,"CeriBell, Inc. - Common Stock",0,-11,17,-12,9
CBNK,"Capital Bancorp, Inc. - Common Stock",0,-1,16,13,-2
CBSH,"Commerce Bancshares, Inc. - Common Stock",0,3,4,1,-12
CCAP,"Crescent Capital BDC, Inc. - Common Stock",-1,-14,-13,-18,-17
CCB,Coastal Financial Corporation - Common Stock,-1,-16,-33,-39,-21
CCBG,Capital City Bank Group - Common Stock,-1,0,15,10,23
CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,0,-6,-36,-42,-48
CCCC,"C4 Therapeutics, Inc. - Common Stock",1,26,45,84,174
CCD,Calamos Dynamic Convertible & Income Fund - Closed End Fund,1,2,25,21,33
CCEC,Capital Clean Energy Carriers Corp. - Common Share,2,6,13,11,0
CCEP,Coca-Cola Europacific Partners plc - Ordinary Shares,0,-1,6,8,9
CCG,Cheche Group Inc. - Class A Ordinary Shares,-6,-25,-47,-34,-35
CCHH,CCH Holdings Ltd - Class A Ordinary Shares,23,-1,-95,-15,-89
CCII,Cohen Circle Acquisition Corp. II - Class A Ordinary Shares,0,0,0,0,1
CCIX,Churchill Capital Corp IX - Ordinary Shares,0,0,1,2,-4
CCLD,"CareCloud, Inc. - Common Stock",-3,-30,-22,-22,11
CCNE,CNB Financial Corporation - Common Stock,-1,0,23,20,41
CCNEP,"CNB Financial Corporation - Depositary shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed- Rate Non-Cumulative Perpetual Preferred Stock",0,0,6,3,9
CCOI,"Cogent Communications Holdings, Inc. - Common Stock",-1,-26,6,-12,-62
CCSI,"Consensus Cloud Solutions, Inc. - Common Stock",1,4,34,30,25
CCTG,CCSC Technology International Holdings Limited - Class A Ordinary Shares,1,-7,-73,-61,-95
CCXI,Churchill Capital Corp XI - Class A Ordinary Shares,0,0,0,0,0
CD,Chaince Digital Holdings Inc. - American Ordinary Shares,-22,38,-29,66,123
CDIO,Cardio Diagnostics Holdings Inc. - Common stock,7,-12,-49,-43,-62
CDLX,"Cardlytics, Inc. - Common Stock",-5,-23,-43,-38,-63
CDNA,"CareDx, Inc. - Common Stock",0,-1,20,13,23
CDNL,Cardinal Infrastructure Group Inc. - Class A Common Stock,-2,0,108,116,108
CDNS,"Cadence Design Systems, Inc. - Common Stock",4,11,23,20,16
CDT,CDT Equity Inc. - Common Stock,-14,-58,-98,-97,-100
CDTG,CDT Environmental Technology Investment Holdings Limited - ordinary shares,0,-7,-18,-5,-45
CDXS,"Codexis, Inc. - Common Stock",-2,-6,57,55,-2
CDZI,"Cadiz, Inc. - Common Stock",1,-6,-24,-27,49
CDZIP,"Cadiz, Inc. - Depositary Shares",0,6,11,11,34
CECO,CECO Environmental Corp. - Common Stock,1,26,59,37,187
CEG,Constellation Energy Corporation - Common Stock When-Issued,3,-7,-17,-19,-4
CELC,Celcuity Inc. - Common Stock,-3,10,37,37,1211
CELH,"Celsius Holdings, Inc. - Common Stock",1,-9,-21,-37,-19
CELZ,"Creative Medical Technology Holdings, Inc. - Common Stock",4,5,-12,21,17
CENN,Cenntro Inc. - Common Stock,0,-6,-57,-54,-92
CENT,Central Garden & Pet Company - Common Stock,0,1,23,21,5
CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,0,1,21,19,7
CENX,Century Aluminum Company - Common Stock,8,6,134,59,298
CEPF,"Cantor Equity Partners IV, Inc. - Class A Ordinary Shares",0,0,-1,-1,1
CEPO,"Cantor Equity Partners I, Inc. - Class A Ordinary Shares",0,0,2,2,-13
CEPS,"Cantor Equity Partners VI, Inc. - Class A Ordinary Shares",1,1,1,1,1
CEPT,"Cantor Equity Partners II, Inc. - Class A ordinary share",-1,17,21,15,13
CEPV,"Cantor Equity Partners V, Inc. - Class A Ordinary Shares",0,1,0,0,0
CETX,Cemtrex Inc. - Common Stock,-1,-15,-70,-66,-96
CETY,"Clean Energy Technologies, Inc. - Common Stock",-4,-15,-35,-5,-85
CEVA,"CEVA, Inc. - Common Stock",3,45,99,76,103
CFBK,CF Bankshares Inc. - Common Stock,0,-6,17,15,18
CFFI,C&F Financial Corporation - Common Stock,-1,-5,6,3,14
CFFN,"Capitol Federal Financial, Inc. - Common Stock",-1,-1,23,19,43
CG,The Carlyle Group Inc. - Common Stock,1,-4,-11,-24,1
CGABL,The Carlyle Group Inc. - 4.625% Subordinated Notes due 2061,0,-3,-2,-2,6
CGBD,"Carlyle Secured Lending, Inc. - Closed End Fund",-1,-6,-7,-12,-14
CGC,Canopy Growth Corporation - Common Shares,-3,-13,-9,-13,-39
CGCT,Cartesian Growth Corporation III - Class A Ordinary Shares,-5,-4,-3,-4,-1
CGEM,"Cullinan Therapeutics, Inc. - Common Stock",-1,4,7,37,77
CGEN,Compugen Ltd. - Ordinary Shares,7,-4,76,81,96
CGNT,Cognyte Software Ltd. - Ordinary Shares,2,7,25,13,-6
CGNX,Cognex Corporation - Common Stock,3,20,79,79,117
CGO,Calamos Global Total Return Fund - Closed End Fund,2,7,28,21,32
CGON,"CG Oncology, Inc. - Common stock",-1,-4,47,54,152
CGTL,Creative Global Technology Holdings Limited - Class A Ordinary Shares,-6,-70,-58,-71,-63
CGTX,"Cognition Therapeutics, Inc. - Common Stock",1,-2,-18,-14,386
CHA,"Chagee Holdings Limited - American Depositary Shares, each representing 1 Class A ordinary share",-4,-11,-23,-23,-66
CHAI,"Core AI Holdings, Inc. - Common Shares",1,12,-56,-44,-94
CHCI,"Comstock Holding Companies, Inc. - Class A Common Stock",7,-12,9,24,54
CHCO,City Holding Company - Common Stock,0,0,5,5,7
CHDN,"Churchill Downs, Incorporated - Common Stock",0,-15,-20,-24,-10
CHEC,Chenghe Acquisition III Co. - Class A Ordinary Shares,0,0,2,1,1
CHEF,"The Chefs' Warehouse, Inc. - Common Stock",-2,14,28,23,20
CHI,Calamos Convertible Opportunities and Income Fund - Closed End Fund,1,4,23,21,35
CHKP,Check Point Software Technologies Ltd. - Ordinary Shares,1,-3,-27,-26,-42
CHMG,Chemung Financial Corp  - Common Stock,0,2,35,27,46
CHPG,ChampionsGate Acquisition Corporation - Class A Ordinary Share,0,1,2,2,4
CHSCL,"CHS Inc - Class B Cumulative Redeemable Preferred Stock, Series 4",0,1,5,3,7
CHSCM,"CHS Inc - Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",0,0,4,3,7
CHSCN,CHS Inc - Preferred Class B Series 2 Reset Rate,1,0,5,2,7
CHSCO,CHS Inc - Class B Cumulative Redeemable Preferred Stock,0,0,4,3,8
CHSCP,CHS Inc - 8%  Cumulative Redeemable Preferred Stock,0,0,4,1,8
CHSN,Chanson International Holding - Class A Ordinary Shares,-7,-77,-99,-99,-100
CHY,Calamos Convertible and High Income Fund - Closed End Fund,2,6,22,18,38
CHYM,"Chime Financial, Inc. - Class A Common Stock",-2,-19,-9,-33,-52
CIGI,Colliers International Group Inc.  - Subordinate Voting Shares,0,-12,-31,-34,-21
CIIT,"Tianci International, Inc. - Common Stock",1,-9,-53,-45,-90
CINF,Cincinnati Financial Corporation - Common Stock,0,1,2,5,15
CING,Cingulate Inc. - Common Stock,-6,-15,27,2,22
CISO,"CISO Global, Inc. - Common Stock",0,13,-44,-37,-71
CISS,C3is Inc. - Common Stock,-7,-31,-99,-93,-100
CIVB,"Civista Bancshares, Inc.  - Common Stock",-1,1,16,18,16
CJMB,Callan JMB Inc. - Common Stock,-2,-20,-74,-30,-86
CLBK,"Columbia Financial, Inc. - Common Stock",1,10,30,32,40
CLBT,Cellebrite DI Ltd. - Ordinary Shares,0,4,-22,-26,-23
CLDX,"Celldex Therapeutics, Inc. - Common Stock",0,-9,17,14,55
CLFD,"Clearfield, Inc. - Common Stock",2,49,49,48,14
CLGN,CollPlant Biotechnologies Ltd. - Ordinary Shares,1,4,-81,-71,-78
CLIK,Click Holdings Limited - Ordinary Share,0,-55,-78,-74,-91
CLLS,Cellectis S.A. - American Depositary Shares,-1,-13,-35,-27,140
CLMB,"Climb Global Solutions, Inc. - Common Stock",1,0,-18,-17,-22
CLMT,"Calumet, Inc - Common Stock",4,11,84,75,134
CLNE,Clean Energy Fuels Corp. - Common Stock,1,-7,-4,-5,12
CLNN,Clene Inc. - Common Stock,-2,11,-27,16,156
CLOV,"Clover Health Investments, Corp.  - Class A Common stock",-1,41,48,47,11
CLPS,CLPS Incorporation - Common Stock,0,3,-2,-11,-6
CLPT,ClearPoint Neuro Inc. - Common Stock,-2,2,-21,-18,-9
CLSK,"CleanSpark, Inc. - Common Stock",1,30,39,38,62
CLST,"Catalyst Bancorp, Inc. - common stock",0,0,6,1,35
CLYM,"Climb Bio, Inc. - Common Stock",1,16,525,193,840
CMCO,Columbus McKinnon Corporation - Common Stock,2,-6,-3,-12,-15
CMCSA,Comcast Corporation - Class A Common Stock,1,-8,4,-7,-20
CMCT,Creative Media  - Common Stock,2,-8,-98,-99,-99
CME,CME Group Inc. - Class A Common Stock,1,3,9,11,6
CMII,Columbus Circle Capital Corp II - Class A Ordinary Shares,0,0,1,1,1
CMMB,Chemomab Therapeutics Ltd.  - American Depositary Shares,11,31,-16,13,-64
CMND,Clearmind Medicine Inc. - Common Shares,-8,-69,-97,-89,-99
CMPS,COMPASS Pathways Plc - American Depository Shares,2,33,128,80,176
CMPX,"Compass Therapeutics, Inc. - Common Stock",7,16,-58,-60,-2
CMTL,Comtech Telecommunications Corp. - Common Stock,14,26,59,-13,114
CMTV,Community Bancorp.  - Common stock,4,0,76,65,138
CNCK,Coincheck Group N.V. - Ordinary Shares,-1,5,-36,-27,-69
CNDT,Conduent Incorporated - Common Stock,17,11,3,-1,-10
CNET,ZW Data Action Technologies Inc. - Common Stock,0,-5,-45,-43,-49
CNEY,CN Energy Group Inc. - Class A Ordinary Shares,2,171,9,174,-40
CNOB,"ConnectOne Bancorp, Inc. - Common Stock",0,1,23,15,32
CNOBP,"ConnectOne Bancorp, Inc. - Depositary Shares (each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A, par value $0.00 per share)",0,1,6,4,16
CNSP,"CNS Pharmaceuticals, Inc. - Common Stock",7,137,-21,2,-58
CNTA,Centessa Pharmaceuticals plc - American Depositary Shares,0,1,35,68,211
CNTB,Connect Biopharma Holdings Limited - Ordinary Shares,0,-4,-19,-7,213
CNTN,"Canton Strategic Holdings, Inc. - Common Stock",5,6,39,4,146
CNTX,Context Therapeutics Inc. - Common Stock,8,11,126,68,282
CNTY,"Century Casinos, Inc. - Common Stock",2,-8,-11,-5,-36
CNVS,Cineverse Corp. - Class A Common Stock,-2,-1,1,17,-30
CNXC,Concentrix Corporation - Common Stock,2,7,-24,-35,-53
CNXN,"PC Connection, Inc. - Common Stock",4,4,17,18,0
COAG,"Hemab Therapeutics Holdings, Inc. - Common Stock",-2,-24,-24,-24,-24
COCH,"Envoy Medical, Inc. - Class A Common Stock",-3,8,-8,2,-55
COCO,"The Vita Coco Company, Inc. - Common Stock",-4,47,49,42,108
COCP,"Cocrystal Pharma, Inc. - Common Stock",2,-18,20,16,-19
CODA,"Coda Octopus Group, Inc. - Common stock",4,6,39,25,58
CODX,"Co-Diagnostics, Inc. - Common Stock",37,207,-49,-9,-32
COFS,"ChoiceOne Financial Services, Inc. - Common Stock",-1,4,8,10,9
COGT,"Cogent Biosciences, Inc. - Common Stock",0,-11,-15,-6,569
COIN,"Coinbase Global, Inc. - Class A Common Stock",-4,-6,-28,-22,-31
COKE,"Coca-Cola Consolidated, Inc. - Common Stock",0,-9,9,17,57
COLA,Columbus Acquisition Corp - Ordinary Shares,-1,3,5,5,8
COLB,"Columbia Banking System, Inc. - Common Stock",0,0,11,7,30
COLL,"Collegium Pharmaceutical, Inc. - Common Stock",-1,4,-25,-25,16
COLM,Columbia Sportswear Company - Common Stock,3,4,22,14,-2
COO,"The Cooper Companies, Inc.  - Common Stock",0,-3,-18,-23,-22
COOT,Australian Oilseeds Holdings Limited - Ordinary Shares,0,-1,-21,15,-16
COSM,Cosmos Health Inc. - Common Stock,-1,-30,-63,-51,-46
COST,Costco Wholesale Corporation - Common Stock,-2,3,16,21,2
COYA,"Coya Therapeutics, Inc. - Common Stock",-1,9,-20,-15,-15
CPB,The Campbell's Company - Common Stock,3,0,-31,-23,-37
CPBI,"Central Plains Bancshares, Inc. - Common Stock",1,8,17,10,28
CPHC,Canterbury Park Holding Corporation - Common Stock,-1,1,5,3,-10
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,7,40,184,47,10
CPOP,"Pop Culture Group Co., Ltd - Class A Ordinary Shares",-1,-31,-50,-48,-60
CPSH,CPS Technologies Corp. - Common Stock,28,15,81,87,100
CPSS,"Consumer Portfolio Services, Inc. - Common Stock",-3,11,15,4,6
CPZ,Calamos Long/Short Equity & Dynamic Income Trust - Closed End Fund,0,-5,-9,-9,-8
CSAI,"Cloudastructure, Inc. - Class A Common Stock",0,-12,-54,-45,-83
CSCO,"Cisco Systems, Inc. - Common Stock",2,36,60,59,93
CSGP,"CoStar Group, Inc. - Common Stock",0,-6,-50,-48,-54
CSIQ,Canadian Solar Inc. - Common Shares,4,36,-24,-26,88
CSPI,CSP Inc. - Common Stock,4,-3,-11,-18,-33
CSQ,Calamos Strategic Total Return Fund - Closed End Fund,1,5,15,9,27
CSTE,Caesarstone Ltd. - Ordinary Shares,10,18,108,12,5
CSTL,"Castle Biosciences, Inc. - Common stock",-2,-19,-48,-48,28
CSX,CSX Corporation - Common Stock,-1,0,33,26,47
CTAA,ClearThink 1 Acquisition Corp. - Class A Ordinary Shares,0,0,0,0,0
CTAS,Cintas Corporation - Common Stock,0,0,-5,-6,-23
CTBI,"Community Trust Bancorp, Inc. - Common Stock",0,2,24,19,34
CTKB,"Cytek Biosciences, Inc. - Common Stock",1,-10,-31,-18,56
CTMX,"CytomX Therapeutics, Inc. - Common Stock",0,-12,-5,-12,77
CTNM,"Contineum Therapeutics, Inc. - Common stock",-4,7,34,22,295
CTNT,Cheetah Net Supply Chain Service Inc. - Class A Common Stock,-6,-70,-99,-99,-99
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,1,-3,-29,-34,-33
CTSO,Cytosorbents Corporation - Common Stock,0,-25,-44,-30,-44
CV,"CapsoVision, Inc. - Common Stock",-2,4,26,-35,90
CVBF,CVB Financial Corporation - Common Stock,0,0,6,10,10
CVCO,"Cavco Industries, Inc. - Common Stock",4,-5,-11,-14,11
CVGI,"Commercial Vehicle Group, Inc. - Common Stock",3,16,205,229,258
CVKD,"Cadrenal Therapeutics, Inc. - Common Stock",0,-9,-48,-29,-64
CVLT,"Commvault Systems, Inc. - Common Stock",1,21,-11,-14,-40
CVV,CVD Equipment Corporation - Common Stock,-5,-10,83,80,76
CXAI,CXApp Inc. - Class A Common Stock,-9,12,-59,-47,-83
CXDO,"Crexendo, Inc. - Common Stock",0,43,49,45,69
CYAB,"Cyabra, Inc. - Common Stock",-5,-41,-85,-85,-85
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",1,9,113,137,9
CYN,Cyngn Inc. - Common stock,2,-13,-57,-48,-69
CYPH,Cypherpunk Technologies Inc. - Common Stock,-8,30,-34,6,215
CYTK,"Cytokinetics, Incorporated - Common Stock",-1,25,14,25,152
CZFS,"Citizens Financial Services, Inc. - Common Stock",-2,-3,15,15,7
CZNC,Citizens & Northern Corp - Common Stock,-1,-8,9,8,16
DAAQ,Digital Asset Acquisition Corp. - Class A Ordinary shares,0,0,1,1,-1
DAIC,"CID HoldCo, Inc. - Common Stock",3,-6,-89,-64,-99
DAIO,Data I/O Corporation - Common Stock,4,24,20,-4,20
DAKT,"Daktronics, Inc. - Common Stock",3,3,10,2,26
DASH,"DoorDash, Inc. - Common Stock",1,-8,-15,-27,-22
DAVE,Dave Inc.  - Class A Common Stock,-5,-18,12,4,9
DBCA,D. Boral Acquisition I Corp. - Class A Ordinary Shares,0,0,1,1,1
DBGI,"Digital Brands Group, Inc. - Common Stock",-20,-74,-95,-98,-98
DBVT,DBV Technologies S.A. - American Depositary Shares,-2,-11,36,-5,96
DBX,"Dropbox, Inc. - Class A Common Stock",1,15,-8,2,-3
DCBO,Docebo Inc. - Common Shares,1,-6,-17,-22,-35
DCGO,DocGo Inc. - Common Stock,5,-8,-38,-29,-55
DCOY,Decoy Therapeutics Inc. - Common Stock,14,32,-36,-7,-95
DCTH,"Delcath Systems, Inc. - Common Stock",-4,2,19,11,-33
DCX,Digital Currency X Technology Inc. - Class A Ordinary Shares,3,4,-85,-49,-100
DDI,"DoubleDown Interactive Co., Ltd. - American Depository Shares",-1,30,30,36,21
DDOG,"Datadog, Inc. - Class A Common Stock",2,68,40,66,89
DEFT,"Defi Technologies, Inc. - Common Stock",-2,-10,-34,-23,-82
DETX,"Liberty Defense Holdings, Ltd. - Common Shares",-3,-9,-31,-31,-31
DEVS,DevvStream Corp. - Common Stock,-5,-47,-89,-89,-97
DFDV,DeFi Development Corp. - Common Stock,-8,-6,-42,-24,-85
DFLI,Dragonfly Energy Holdings Corp - Common Stock,6,7,-73,-45,-46
DFNS,T3 Defense Inc. - Common Stock,3,-22,-93,-91,-98
DFSC,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering",3,74,34,128,-18
DFTX,"Definium Therapeutics, Inc.  - Common Shares",-1,7,91,65,215
DGICA,"Donegal Group, Inc. - Class A Common Stock",-1,-1,-11,-9,-11
DGICB,"Donegal Group, Inc. - Class B Common Stock",0,-3,19,10,11
DGII,Digi International Inc. - Common Stock,3,17,62,53,101
DGNX,Diginex Limited - Ordinary Shares,0,-69,-99,-97,-98
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares,3,138,86,185,444
DH,Definitive Healthcare Corp. - Class A Common Stock,4,-16,-68,-64,-74
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,-2,16,90,76,172
DHCNI,Diversified Healthcare Trust  - 5.625% Senior Notes due 2042,0,3,10,14,27
DHCNL,Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046,0,,0,0,0
DIBS,"1stdibs.com, Inc. - Common Stock",3,-15,-8,-22,84
DIOD,Diodes Incorporated - Common Stock,3,-2,119,94,114
DJCO,Daily Journal Corp. (S.C.) - Common Stock,2,-9,6,-6,10
DJT,Trump Media & Technology Group Corp. - Common Stock,0,-20,-25,-42,-66
DKI,DarkIris Inc. - Class A Ordinary Shares,-3,1071,1460,1648,11
DKNG,DraftKings Inc. - Class A Common Stock,-1,7,-15,-30,-29
DLHC,DLH Holdings Corp. - Common Stock,0,-7,-11,-1,8
DLO,DLocal Limited - Class A Common Shares,-1,-13,-7,-14,9
DLPN,"Dolphin Entertainment, Inc. - Common Stock",1,-12,-27,-22,14
DLTH,Duluth Holdings Inc. - Class B Common Stock,4,-1,16,75,86
DLXY,Delixy Holdings Limited - Class A Ordinary Shares,0,-33,-51,-45,-90
DMAA,Drugs Made In America Acquisition Corp. - Ordinary Shares,0,0,3,2,5
DMAC,DiaMedica Therapeutics Inc. - Common Stock,2,-6,-26,-25,42
DMII,Drugs Made In America Acquisition II Corp. - Ordinary Shares,0,1,2,2,2
DMLP,"Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests",-1,-1,29,24,11
DNLI,Denali Therapeutics Inc. - Common Stock,-3,-7,-2,15,41
DNMX,Dynamix Corporation III - Class A Ordinary Shares,0,0,1,1,1
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",-4,-1,98,118,382
DOGZ,Dogness (International) Corporation - Class A Common Stock,-3,-17,-91,-91,-96
DOMH,Dominari Holdings Inc. - Common Stock,0,22,-14,-23,-14
DOMO,"Domo, Inc. - Class B Common Stock",1,2,-67,-56,-72
DOO,BRP Inc. - Common Subordinate Voting Shares,1,1,-14,-23,53
DOX,Amdocs Limited - Ordinary Shares,0,-3,-16,-21,-30
DPZ,Domino's Pizza Inc - Common Stock,0,-6,-21,-25,-34
DSAC,Daedalus Special Acquisition Corp. - Class A Ordinary Shares,0,0,-1,-1,-1
DSGN,"Design Therapeutics, Inc. - Common Stock",0,-14,27,21,183
DSGX,The Descartes Systems Group Inc. - Common Stock,1,0,-12,-16,-39
DSP,Viant Technology Inc. - common stock,2,6,11,-4,-20
DSY,Big Tree Cloud Holdings Limited - Class A Ordinary Shares,7,-11,-78,-65,-92
DTCX,"Datacentrex, Inc. - Common Stock",1,-2,-45,-20,-74
